mes-año;Acum_mensual;Prom_mensual
1/11/1992;74,7;2,409677419
1/12/1992;5,8;0,187096774
1/1/1993;0;0
1/2/1993;0;0
1/3/1993;0;0
1/4/1993;33,9;1,093548387
1/5/1993;274,9;8,867741935
1/6/1993;214,1;6,906451613
1/7/1993;80;2,580645161
1/8/1993;0;0
1/9/1993;0;0
1/10/1993;0;0
1/11/1993;0;0
1/12/1993;0;0
1/1/1994;0;0
1/2/1994;0;0
1/3/1994;0;0
1/4/1994;10,2;0,329032258
1/5/1994;326,3;10,52580645
1/6/1994;107,1;3,45483871
1/7/1994;81,8;2,638709677
1/8/1994;327,8;10,57419355
1/9/1994;160;5,161290323
1/10/1994;256,5;8,274193548
1/11/1994;74,6;2,406451613
1/12/1994;0;0
1/1/1995;0;0
1/2/1995;0;0
1/3/1995;0;0
1/4/1995;55,2;1,780645161
1/5/1995;217,7;7,022580645
1/6/1995;331,5;10,69354839
1/7/1995;280,6;9,051612903
1/8/1995;434,1;14,00322581
1/9/1995;423,3;13,65483871
1/10/1995;797,6;25,72903226
1/11/1995;48;1,548387097
1/12/1995;5,3;0,170967742
1/1/1996;0;0
1/2/1996;0;0
1/3/1996;0;0
1/4/1996;0;0
1/5/1996;294,9;9,512903226
1/6/1996;303,7;9,796774194
1/7/1996;342,8;11,05806452
1/8/1996;242,3;7,816129032
1/9/1996;381,8;12,31612903
1/10/1996;586,8;18,92903226
1/11/1996;211,5;6,822580645
1/12/1996;10,2;0,329032258
1/1/1997;0;0
1/2/1997;0;0
1/3/1997;0;0
1/4/1997;25,5;0,822580645
1/5/1997;135,3;4,364516129
1/6/1997;321,3;10,36451613
1/7/1997;13,3;0,429032258
1/8/1997;137,7;4,441935484
1/9/1997;365,8;11,8
1/10/1997;238,6;7,696774194
1/11/1997;220,9;7,125806452
1/12/1997;10,2;0,329032258
1/1/1998;1;0,032258065
1/2/1998;0;0
1/3/1998;0;0
1/4/1998;0;0
1/5/1998;97,7;3,151612903
1/6/1998;242,7;7,829032258
1/7/1998;289,7;9,34516129
